#Warren, S. G., 1984: Optical constants of ice from ultraviolet to microwave,
#Applied Optics, 23, 1206-1225
#(with  updates given by  S. G. Warren in 1995).
#
#Wave(microns)	Real part 	Imaginary part	     
3.25474E+02	1.79121E+00	1.49914E-02
3.31752E+02	1.79059E+00	1.48042E-02
3.38150E+02	1.78998E+00	1.46194E-02
3.44672E+02	1.78936E+00	1.44368E-02
3.51319E+02	1.78875E+00	1.42566E-02
3.58095E+02	1.78824E+00	1.40813E-02
3.65002E+02	1.78783E+00	1.39110E-02
3.72041E+02	1.78743E+00	1.37428E-02
3.79217E+02	1.78703E+00	1.35767E-02
3.86531E+02	1.78663E+00	1.34125E-02
3.93986E+02	1.78623E+00	1.32503E-02
4.01584E+02	1.78588E+00	1.30878E-02
4.09330E+02	1.78561E+00	1.29246E-02
4.17224E+02	1.78533E+00	1.27635E-02
4.25271E+02	1.78505E+00	1.26043E-02
4.33473E+02	1.78478E+00	1.24471E-02
4.41834E+02	1.78450E+00	1.22919E-02
4.50355E+02	1.78426E+00	1.21408E-02
4.59041E+02	1.78407E+00	1.19945E-02
4.67894E+02	1.78389E+00	1.18500E-02
4.76919E+02	1.78370E+00	1.17072E-02
4.86117E+02	1.78352E+00	1.15661E-02
4.95492E+02	1.78333E+00	1.14267E-02
5.05049E+02	1.78317E+00	1.12875E-02
5.14790E+02	1.78305E+00	1.11477E-02
5.24718E+02	1.78293E+00	1.10097E-02
5.34838E+02	1.78280E+00	1.08734E-02
5.45154E+02	1.78268E+00	1.07387E-02
5.55668E+02	1.78256E+00	1.06058E-02
5.66385E+02	1.78245E+00	1.04761E-02
5.77309E+02	1.78237E+00	1.03506E-02
5.88443E+02	1.78229E+00	1.02267E-02
5.99792E+02	1.78222E+00	1.01042E-02
6.11360E+02	1.78214E+00	9.98323E-03
6.23151E+02	1.78206E+00	9.86369E-03
6.35170E+02	1.78200E+00	9.74458E-03
6.47420E+02	1.78197E+00	9.62504E-03
6.59907E+02	1.78194E+00	9.50697E-03
6.72634E+02	1.78191E+00	9.39034E-03
6.85607E+02	1.78188E+00	9.27515E-03
6.98830E+02	1.78185E+00	9.16137E-03
7.12309E+02	1.78182E+00	9.04898E-03
7.26047E+02	1.78179E+00	8.93797E-03
7.40050E+02	1.78176E+00	8.82833E-03
7.54323E+02	1.78173E+00	8.72003E-03
7.68871E+02	1.78170E+00	8.61306E-03
7.83700E+02	1.78167E+00	8.50740E-03
7.98815E+02	1.78164E+00	8.40323E-03
8.14222E+02	1.78163E+00	8.30079E-03
8.29926E+02	1.78162E+00	8.19960E-03
8.45932E+02	1.78160E+00	8.09964E-03
8.62248E+02	1.78159E+00	8.00091E-03
8.78878E+02	1.78158E+00	7.90337E-03
8.95828E+02	1.78156E+00	7.80703E-03
9.13106E+02	1.78155E+00	7.71186E-03
9.30717E+02	1.78154E+00	7.61785E-03
9.48667E+02	1.78153E+00	7.52498E-03
9.66964E+02	1.78151E+00	7.43325E-03
9.85613E+02	1.78150E+00	7.34264E-03
1.00462E+03	1.78150E+00	7.25304E-03
1.02400E+03	1.78152E+00	7.16427E-03
1.04375E+03	1.78154E+00	7.07658E-03
1.06388E+03	1.78156E+00	6.98997E-03
1.08440E+03	1.78158E+00	6.90442E-03
1.10531E+03	1.78160E+00	6.81991E-03
1.12663E+03	1.78162E+00	6.73644E-03
1.14836E+03	1.78164E+00	6.65399E-03
1.17051E+03	1.78166E+00	6.57254E-03
1.19308E+03	1.78168E+00	6.49210E-03
1.21609E+03	1.78170E+00	6.41264E-03
1.23955E+03	1.78172E+00	6.33415E-03
1.26345E+03	1.78174E+00	6.25665E-03
1.28782E+03	1.78176E+00	6.18022E-03
1.31266E+03	1.78179E+00	6.10472E-03
1.33798E+03	1.78181E+00	6.03015E-03
